game_id,created_at,bone_count,revealed_count,hit_bone,cash_out_position,multiplier,is_simulated,bone_positions,chicken_positions,revealed_sequence,first_position,last_position,game_duration_positions,success_rate,risk_level
cml7wmobd01wa29egar2ud4z8,2026-02-04T10:48:28.058Z,4,4,false,4,1.7,true,"1,4,9,10","2,3,5,6,7,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","8,15,14,12",8,12,4,1.000,LOW
cml7wmoau01vk29egjc7rxg0i,2026-02-04T10:48:28.038Z,4,4,false,4,1.7,true,"9,15,18,25","1,2,3,4,5,6,7,8,10,11,12,13,14,16,17,19,20,21,22,23,24","7,19,12,13",7,13,4,1.000,LOW
cml7wmoa801uu29eghiai9w1j,2026-02-04T10:48:28.017Z,4,4,false,4,1.7,true,"1,2,3,6","4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","12,14,11,19",12,19,4,1.000,LOW
cml7wmo9m01u429eg2ntmvvb2,2026-02-04T10:48:27.995Z,4,4,false,4,1.7,true,"4,10,16,24","1,2,3,5,6,7,8,9,11,12,13,14,15,17,18,19,20,21,22,23,25","7,15,11,23",7,23,4,1.000,LOW
cml7wmo9201te29egd30sv6wq,2026-02-04T10:48:27.975Z,4,4,false,4,1.7,true,"2,6,20,25","1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24","15,22,11,14",15,14,4,1.000,LOW
cml7wmo8m01so29egrnpdnwu7,2026-02-04T10:48:27.958Z,4,4,false,4,1.7,true,"3,15,16,25","1,2,4,5,6,7,8,9,10,11,12,13,14,17,18,19,20,21,22,23,24","19,7,22,11",19,11,4,1.000,LOW
cml7wmo8601ry29egy0qxp9n6,2026-02-04T10:48:27.942Z,4,4,false,4,1.7,true,"18,20,21,25","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,22,23,24","12,22,7,8",12,8,4,1.000,LOW
cml7wmo7n01r829ege5iglwrq,2026-02-04T10:48:27.923Z,4,4,false,4,1.7,true,"8,9,19,24","1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,20,21,22,23,25","23,11,13,12",23,12,4,1.000,LOW
cml7wmo6z01qi29egrn38b2ls,2026-02-04T10:48:27.899Z,4,4,false,4,1.7,true,"1,4,20,24","2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,25","15,23,12,11",15,11,4,1.000,LOW
cml7wmo6c01ps29egnxepd62h,2026-02-04T10:48:27.877Z,4,4,true,,,true,"3,8,10,14","1,2,4,5,6,7,9,11,12,13,15,16,17,18,19,20,21,22,23,24,25","13,11,19,14",13,14,4,0.750,LOW
cml7wmo5t01p229egahjuf2ky,2026-02-04T10:48:27.857Z,4,3,true,,,true,"1,7,9,17","2,3,4,5,6,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25","19,13,7",19,7,3,0.667,LOW
cml7wmo5901oc29eg1j3sw0kj,2026-02-04T10:48:27.838Z,4,2,true,,,true,"1,3,4,23","2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25","7,23",7,23,2,0.500,LOW
cml7wmo4j01nm29eg8so1u80z,2026-02-04T10:48:27.812Z,4,4,false,4,1.7,true,"7,8,17,21","1,2,3,4,5,6,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25","13,19,22,11",13,11,4,1.000,LOW
cml7wmo3z01mw29egdoes8t2e,2026-02-04T10:48:27.791Z,4,4,false,4,1.7,true,"6,11,18,22","1,2,3,4,5,7,8,9,10,12,13,14,15,16,17,19,20,21,23,24,25","13,8,19,23",13,23,4,1.000,LOW
cml7wmo2z01m629eg0izlube2,2026-02-04T10:48:27.755Z,4,3,true,,,true,"7,14,20,24","1,2,3,4,5,6,8,9,10,11,12,13,15,16,17,18,19,21,22,23,25","13,12,7",13,7,3,0.667,LOW
cml7wmo2g01lg29egjq8m9edh,2026-02-04T10:48:27.737Z,4,4,false,4,1.7,true,"1,9,16,21","2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,22,23,24,25","23,12,15,7",23,7,4,1.000,LOW
cml7wmo1y01kq29eg0ehhlksh,2026-02-04T10:48:27.719Z,4,4,false,4,1.7,true,"3,17,20,24","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,21,22,23,25","14,23,11,22",14,22,4,1.000,LOW
cml7wmo1b01k029eguw8y5ymo,2026-02-04T10:48:27.695Z,4,4,false,4,1.7,true,"1,9,10,15","2,3,4,5,6,7,8,11,12,13,14,16,17,18,19,20,21,22,23,24,25","11,23,7,13",11,13,4,1.000,LOW
cml7wmo0o01ja29egrilnbjod,2026-02-04T10:48:27.672Z,4,2,true,,,true,"7,18,21,25","1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,22,23,24","22,7",22,7,2,0.500,LOW
cml7wmnzw01ik29eg6q024aj8,2026-02-04T10:48:27.645Z,4,4,false,4,1.7,true,"5,9,14,19","1,2,3,4,6,7,8,10,11,12,13,15,16,17,18,20,21,22,23,24,25","7,13,15,8",7,8,4,1.000,LOW
cml7wmnza01hu29egi28cmw2i,2026-02-04T10:48:27.623Z,4,4,false,4,1.7,true,"6,9,16,21","1,2,3,4,5,7,8,10,11,12,13,14,15,17,18,19,20,22,23,24,25","8,23,14,11",8,11,4,1.000,LOW
cml7wmnys01h429egapzzosg9,2026-02-04T10:48:27.605Z,4,4,false,4,1.7,true,"1,2,24,25","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","23,15,19,14",23,14,4,1.000,LOW
cml7wmnww01ge29egdv2ol1wk,2026-02-04T10:48:27.536Z,4,4,false,4,1.7,true,"5,15,17,18","1,2,3,4,6,7,8,9,10,11,12,13,14,16,19,20,21,22,23,24,25","8,23,13,11",8,11,4,1.000,LOW
cml7wmnrr01fo29egu47iytyj,2026-02-04T10:48:27.351Z,4,4,false,4,1.7,true,"3,5,6,24","1,2,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25","12,22,11,7",12,7,4,1.000,LOW
cml7wmnpq01ey29eg0szmqsgj,2026-02-04T10:48:27.279Z,4,4,false,4,1.7,true,"1,10,17,19","2,3,4,5,6,7,8,9,11,12,13,14,15,16,18,20,21,22,23,24,25","15,13,23,14",15,14,4,1.000,LOW
cml7wmnp801e829eg75sppbfv,2026-02-04T10:48:27.260Z,4,4,false,4,1.7,true,"4,5,6,24","1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25","13,22,12,11",13,11,4,1.000,LOW
cml7wmnoq01di29egkrsdiuct,2026-02-04T10:48:27.242Z,4,4,true,,,true,"1,14,21,22","2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,23,24,25","19,8,12,22",19,22,4,0.750,LOW
cml7wmno701cs29egmg89hkw3,2026-02-04T10:48:27.223Z,4,2,true,,,true,"4,6,10,23","1,2,3,5,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,24,25","11,23",11,23,2,0.500,LOW
cml7wmnnn01c229eg60fd0ds3,2026-02-04T10:48:27.203Z,4,3,true,,,true,"2,3,5,14","1,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25","7,13,14",7,14,3,0.667,LOW
cml7wmnmv01bc29eg6gsjzj51,2026-02-04T10:48:27.176Z,4,1,true,,,true,"1,3,8,24","2,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25","8",8,8,1,0.000,LOW
cml7wmnmb01am29egwsriuty8,2026-02-04T10:48:27.156Z,4,4,false,4,1.7,true,"2,5,9,20","1,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25","8,22,14,7",8,7,4,1.000,LOW
cml7wmnlr019w29egl8aueynt,2026-02-04T10:48:27.136Z,4,4,false,4,1.7,true,"2,4,10,25","1,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24","22,19,11,23",22,23,4,1.000,LOW
cml7wmnl5019629eg1103w5wp,2026-02-04T10:48:27.114Z,4,4,false,4,1.7,true,"13,16,20,21","1,2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,19,22,23,24,25","23,12,15,11",23,11,4,1.000,LOW
